            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460039.500000000, A.D. 2023-Apr-05 00:00:00.0000, -3.948511685985819E+05, -5.403602335493916E+03,  1.970637244101982E+04,
2460040.500000000, A.D. 2023-Apr-06 00:00:00.0000, -3.810173171310977E+05, -9.053635390466891E+04,  1.250528433761667E+04,
2460041.500000000, A.D. 2023-Apr-07 00:00:00.0000, -3.484068942359965E+05, -1.712009095569169E+05,  4.678671534240966E+03,
2460042.500000000, A.D. 2023-Apr-08 00:00:00.0000, -2.981671146623529E+05, -2.431178045002781E+05, -3.387231263163878E+03,
2460043.500000000, A.D. 2023-Apr-09 00:00:00.0000, -2.324520929534813E+05, -3.022415813992036E+05, -1.127191736398099E+04,
2460044.500000000, A.D. 2023-Apr-10 00:00:00.0000, -1.543919363712582E+05, -3.450283834404465E+05, -1.854275885512191E+04,
2460045.500000000, A.D. 2023-Apr-11 00:00:00.0000, -6.798038173910725E+04, -3.687019207940920E+05, -2.478124837277117E+04,
2460046.500000000, A.D. 2023-Apr-12 00:00:00.0000,  2.211708172303600E+04, -3.714903429844097E+05, -2.961112262525184E+04,
2460047.500000000, A.D. 2023-Apr-13 00:00:00.0000,  1.108241882877851E+05, -3.528105731026664E+05, -3.272602666974919E+04,
2460048.500000000, A.D. 2023-Apr-14 00:00:00.0000,  1.929693175353858E+05, -3.133814960448368E+05, -3.391452692879441E+04,
2460049.500000000, A.D. 2023-Apr-15 00:00:00.0000,  2.636382914439221E+05, -2.552496996722347E+05, -3.308033123751357E+04,
2460050.500000000, A.D. 2023-Apr-16 00:00:00.0000,  3.185423480843562E+05, -1.817115733817189E+05, -3.025531870989028E+04,
2460051.500000000, A.D. 2023-Apr-17 00:00:00.0000,  3.543685129535882E+05, -9.711837613330319E+04, -2.560265610378783E+04,
2460052.500000000, A.D. 2023-Apr-18 00:00:00.0000,  3.690665447275924E+05, -6.563169832259573E+03, -1.940755370404842E+04,
2460053.500000000, A.D. 2023-Apr-19 00:00:00.0000,  3.620206140547096E+05,  8.452697973296886E+04, -1.205479044467740E+04,
2460054.500000000, A.D. 2023-Apr-20 00:00:00.0000,  3.340657266495174E+05,  1.708402459436143E+05, -3.995046380768748E+03,
2460055.500000000, A.D. 2023-Apr-21 00:00:00.0000,  2.873412586638621E+05,  2.475977388282196E+05,  4.294739801183649E+03,
2460056.500000000, A.D. 2023-Apr-22 00:00:00.0000,  2.250152898175623E+05,  3.108713777418783E+05,  1.235000607829465E+04,
2460057.500000000, A.D. 2023-Apr-23 00:00:00.0000,  1.509437249119717E+05,  3.577635317960935E+05,  1.974994819392993E+04,
2460058.500000000, A.D. 2023-Apr-24 00:00:00.0000,  6.933346515489439E+04,  3.864503969550494E+05,  2.613822950820968E+04,
2460059.500000000, A.D. 2023-Apr-25 00:00:00.0000, -1.553945703883159E+04,  3.961229304700012E+05,  3.123299279180888E+04,
2460060.500000000, A.D. 2023-Apr-26 00:00:00.0000, -9.953472326102940E+04,  3.868720153595728E+05,  3.482861893946063E+04,
2460061.500000000, A.D. 2023-Apr-27 00:00:00.0000, -1.787791179163097E+05,  3.595600000775816E+05,  3.679264821373991E+04,
2460062.500000000, A.D. 2023-Apr-28 00:00:00.0000, -2.497435269430340E+05,  3.157070176505431E+05,  3.706102227172152E+04,
2460063.500000000, A.D. 2023-Apr-29 00:00:00.0000, -3.092901263141247E+05,  2.574052567989510E+05,  3.563391942193940E+04,
2460064.500000000, A.D. 2023-Apr-30 00:00:00.0000, -3.547132370415030E+05,  1.872616568694359E+05,  3.257342367233414E+04,
2460065.500000000, A.D. 2023-May-01 00:00:00.0000, -3.837928107073611E+05,  1.083600451424522E+05,  2.800331037112403E+04,
2460066.500000000, A.D. 2023-May-02 00:00:00.0000, -3.948731507205645E+05,  2.422676329583610E+04,  2.211036968981211E+04,
2460067.500000000, A.D. 2023-May-03 00:00:00.0000, -3.869712606811445E+05, -6.122122584998000E+04,  1.514588066218914E+04,
2460068.500000000, A.D. 2023-May-04 00:00:00.0000, -3.599084823076050E+05, -1.437692228511653E+05,  7.425111683050563E+03,
2460069.500000000, A.D. 2023-May-05 00:00:00.0000, -3.144459261052448E+05, -2.190598433163086E+05, -6.777708385890000E+02,
2460070.500000000, A.D. 2023-May-06 00:00:00.0000, -2.523909416247156E+05, -2.828215867914033E+05, -8.741923596378299E+03,
2460071.500000000, A.D. 2023-May-07 00:00:00.0000, -1.766337648727215E+05, -3.311638055786895E+05, -1.632070763668248E+04,
2460072.500000000, A.D. 2023-May-08 00:00:00.0000, -9.107703453775632E+04, -3.609072338538867E+05, -2.297075384239388E+04,
2460073.500000000, A.D. 2023-May-09 00:00:00.0000, -4.394843441054400E+02, -3.698990184701929E+05, -2.828623237160537E+04,
2460074.500000000, A.D. 2023-May-10 00:00:00.0000,  9.005545854206929E+04, -3.572549014973170E+05, -3.193336213558244E+04,
2460075.500000000, A.D. 2023-May-11 00:00:00.0000,  1.750669162476781E+05, -3.234837381873555E+05, -3.367970727889884E+04,
2460076.500000000, A.D. 2023-May-12 00:00:00.0000,  2.495450682807059E+05, -2.704755771672466E+05, -3.341403162412405E+04,
2460077.500000000, A.D. 2023-May-13 00:00:00.0000,  3.091086835619276E+05, -2.013617026635648E+05, -3.115469452100106E+04,
2460078.500000000, A.D. 2023-May-14 00:00:00.0000,  3.503537779065343E+05, -1.202726944778645E+05, -2.704666549836717E+04,
2460079.500000000, A.D. 2023-May-15 00:00:00.0000,  3.710717349609009E+05, -3.202628222247896E+04, -2.134850818430903E+04,
2460080.500000000, A.D. 2023-May-16 00:00:00.0000,  3.703665246120397E+05,  5.822441192942017E+04, -1.441117340491031E+04,
2460081.500000000, A.D. 2023-May-17 00:00:00.0000,  3.486669283754195E+05,  1.453530878978372E+05, -6.650652485707258E+03,
2460082.500000000, A.D. 2023-May-18 00:00:00.0000,  3.076354344290688E+05,  2.246026605432013E+05,  1.483080401091589E+03,
2460083.500000000, A.D. 2023-May-19 00:00:00.0000,  2.499848017963478E+05,  2.918763240196795E+05,  9.537843747513194E+03,
2460084.500000000, A.D. 2023-May-20 00:00:00.0000,  1.792259892960879E+05,  3.439494621293149E+05,  1.708839338341028E+04,
2460085.500000000, A.D. 2023-May-21 00:00:00.0000,  9.938237032892859E+04,  3.785861159069373E+05,  2.375991031102010E+04,
2460086.500000000, A.D. 2023-May-22 00:00:00.0000,  1.470895529117286E+04,  3.945610239069337E+05,  2.924394654922889E+04,
2460087.500000000, A.D. 2023-May-23 00:00:00.0000, -7.055092027920083E+04,  3.916052158760918E+05,  3.330656660138487E+04,
2460088.500000000, A.D. 2023-May-24 00:00:00.0000, -1.523528567557264E+05,  3.703036676788907E+05,  3.578993384603284E+04,
2460089.500000000, A.D. 2023-May-25 00:00:00.0000, -2.269799403684436E+05,  3.319750783899975E+05,  3.660951591631392E+04,
2460090.500000000, A.D. 2023-May-26 00:00:00.0000, -2.911228096619288E+05,  2.785579648479761E+05,  3.574928346016182E+04,
2460091.500000000, A.D. 2023-May-27 00:00:00.0000, -3.419289394713105E+05,  2.125175836603476E+05,  3.325690931173583E+04,
2460092.500000000, A.D. 2023-May-28 00:00:00.0000, -3.770411516141728E+05,  1.367779025624561E+05,  2.924030051124191E+04,
2460093.500000000, A.D. 2023-May-29 00:00:00.0000, -3.946439271521483E+05,  5.467358099229861E+04,  2.386601190351076E+04,
2460094.500000000, A.D. 2023-May-30 00:00:00.0000, -3.935320397551594E+05, -3.009109825063989E+04,  1.735927222159980E+04,
2460095.500000000, A.D. 2023-May-31 00:00:00.0000, -3.732093899397899E+05, -1.134964002924615E+05,  1.000448844217928E+04,
2460096.500000000, A.D. 2023-Jun-01 00:00:00.0000, -3.340157071282252E+05, -1.912998860480411E+05,  2.144176350091831E+03,
2460097.500000000, A.D. 2023-Jun-02 00:00:00.0000, -2.772639760819407E+05, -2.591946557733747E+05, -5.826572592376964E+03,
2460098.500000000, A.D. 2023-Jun-03 00:00:00.0000, -2.053530189784055E+05, -3.130529916158136E+05, -1.347334558498101E+04,
2460099.500000000, A.D. 2023-Jun-04 00:00:00.0000, -1.218031874587356E+05, -3.492550832968192E+05, -2.034590480969011E+04,
2460100.500000000, A.D. 2023-Jun-05 00:00:00.0000, -3.115952518422078E+04, -3.650689526119734E+05, -2.601205875776221E+04,
2460101.500000000, A.D. 2023-Jun-06 00:00:00.0000,  6.127237493819779E+04, -3.590110048395040E+05, -3.009821681884161E+04,
2460102.500000000, A.D. 2023-Jun-07 00:00:00.0000,  1.498459608135450E+05, -3.310972772949631E+05, -3.232917079007634E+04,
2460103.500000000, A.D. 2023-Jun-08 00:00:00.0000,  2.290820878733020E+05, -2.829118708589895E+05, -3.255821378563809E+04,
2460104.500000000, A.D. 2023-Jun-09 00:00:00.0000,  2.941661409092883E+05, -2.174698655003929E+05, -3.078095453958242E+04,
2460105.500000000, A.D. 2023-Jun-10 00:00:00.0000,  3.413414607579685E+05, -1.389118148442612E+05, -2.713112717858975E+04,
2460106.500000000, A.D. 2023-Jun-11 00:00:00.0000,  3.681478967726847E+05, -5.210464094224173E+04, -2.186160813085031E+04,
2460107.500000000, A.D. 2023-Jun-12 00:00:00.0000,  3.735028314341113E+05,  3.777369052414071E+04, -1.531643444991869E+04,
2460108.500000000, A.D. 2023-Jun-13 00:00:00.0000,  3.576543832997819E+05,  1.256108925769469E+05, -7.899488471821263E+03,
