            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2460022.500000000, A.D. 2023-Mar-19 00:00:00.0000,  1.307026799523127E+08,  3.716989060942056E+08, -1.371650898526765E+08,
2460023.500000000, A.D. 2023-Mar-20 00:00:00.0000,  1.293676976943450E+08,  3.720501246487747E+08, -1.373772654662627E+08,
2460024.500000000, A.D. 2023-Mar-21 00:00:00.0000,  1.280309409456318E+08,  3.723962828012860E+08, -1.375875722555721E+08,
2460025.500000000, A.D. 2023-Mar-22 00:00:00.0000,  1.266924274078479E+08,  3.727373744764141E+08, -1.377960068610056E+08,
2460026.500000000, A.D. 2023-Mar-23 00:00:00.0000,  1.253521748035693E+08,  3.730733936279892E+08, -1.380025659331475E+08,
2460027.500000000, A.D. 2023-Mar-24 00:00:00.0000,  1.240102008764409E+08,  3.734043342390018E+08, -1.382072461327581E+08,
2460028.500000000, A.D. 2023-Mar-25 00:00:00.0000,  1.226665233913462E+08,  3.737301903216091E+08, -1.384100441307662E+08,
2460029.500000000, A.D. 2023-Mar-26 00:00:00.0000,  1.213211601345779E+08,  3.740509559171408E+08, -1.386109566082625E+08,
2460030.500000000, A.D. 2023-Mar-27 00:00:00.0000,  1.199741289140070E+08,  3.743666250961122E+08, -1.388099802564934E+08,
2460031.500000000, A.D. 2023-Mar-28 00:00:00.0000,  1.186254475592555E+08,  3.746771919582322E+08, -1.390071117768554E+08,
2460032.500000000, A.D. 2023-Mar-29 00:00:00.0000,  1.172751339218676E+08,  3.749826506324179E+08, -1.392023478808911E+08,
2460033.500000000, A.D. 2023-Mar-30 00:00:00.0000,  1.159232058754825E+08,  3.752829952768094E+08, -1.393956852902843E+08,
2460034.500000000, A.D. 2023-Mar-31 00:00:00.0000,  1.145696813160072E+08,  3.755782200787872E+08, -1.395871207368571E+08,
2460035.500000000, A.D. 2023-Apr-01 00:00:00.0000,  1.132145781617912E+08,  3.758683192549886E+08, -1.397766509625672E+08,
2460036.500000000, A.D. 2023-Apr-02 00:00:00.0000,  1.118579143538001E+08,  3.761532870513303E+08, -1.399642727195052E+08,
2460037.500000000, A.D. 2023-Apr-03 00:00:00.0000,  1.104997078557910E+08,  3.764331177430289E+08, -1.401499827698936E+08,
2460038.500000000, A.D. 2023-Apr-04 00:00:00.0000,  1.091399766544880E+08,  3.767078056346254E+08, -1.403337778860857E+08,
2460039.500000000, A.D. 2023-Apr-05 00:00:00.0000,  1.077787387597591E+08,  3.769773450600106E+08, -1.405156548505656E+08,
2460040.500000000, A.D. 2023-Apr-06 00:00:00.0000,  1.064160122047918E+08,  3.772417303824530E+08, -1.406956104559486E+08,
2460041.500000000, A.D. 2023-Apr-07 00:00:00.0000,  1.050518150462713E+08,  3.775009559946278E+08, -1.408736415049821E+08,
2460042.500000000, A.D. 2023-Apr-08 00:00:00.0000,  1.036861653645577E+08,  3.777550163186486E+08, -1.410497448105476E+08,
2460043.500000000, A.D. 2023-Apr-09 00:00:00.0000,  1.023190812638654E+08,  3.780039058061002E+08, -1.412239171956636E+08,
2460044.500000000, A.D. 2023-Apr-10 00:00:00.0000,  1.009505808724416E+08,  3.782476189380739E+08, -1.413961554934883E+08,
2460045.500000000, A.D. 2023-Apr-11 00:00:00.0000,  9.958068234274583E+07,  3.784861502252043E+08, -1.415664565473238E+08,
2460046.500000000, A.D. 2023-Apr-12 00:00:00.0000,  9.820940385162991E+07,  3.787194942077090E+08, -1.417348172106211E+08,
2460047.500000000, A.D. 2023-Apr-13 00:00:00.0000,  9.683676360051937E+07,  3.789476454554286E+08, -1.419012343469850E+08,
2460048.500000000, A.D. 2023-Apr-14 00:00:00.0000,  9.546277981559497E+07,  3.791705985678701E+08, -1.420657048301810E+08,
2460049.500000000, A.D. 2023-Apr-15 00:00:00.0000,  9.408747074797338E+07,  3.793883481742521E+08, -1.422282255441417E+08,
2460050.500000000, A.D. 2023-Apr-16 00:00:00.0000,  9.271085467389128E+07,  3.796008889335503E+08, -1.423887933829747E+08,
2460051.500000000, A.D. 2023-Apr-17 00:00:00.0000,  9.133294989488767E+07,  3.798082155345473E+08, -1.425474052509711E+08,
2460052.500000000, A.D. 2023-Apr-18 00:00:00.0000,  8.995377473798788E+07,  3.800103226958829E+08, -1.427040580626145E+08,
2460053.500000000, A.D. 2023-Apr-19 00:00:00.0000,  8.857334755588768E+07,  3.802072051661070E+08, -1.428587487425912E+08,
2460054.500000000, A.D. 2023-Apr-20 00:00:00.0000,  8.719168672713852E+07,  3.803988577237335E+08, -1.430114742258007E+08,
2460055.500000000, A.D. 2023-Apr-21 00:00:00.0000,  8.580881065633267E+07,  3.805852751772975E+08, -1.431622314573670E+08,
2460056.500000000, A.D. 2023-Apr-22 00:00:00.0000,  8.442473777428944E+07,  3.807664523654135E+08, -1.433110173926510E+08,
2460057.500000000, A.D. 2023-Apr-23 00:00:00.0000,  8.303948653824177E+07,  3.809423841568360E+08, -1.434578289972633E+08,
2460058.500000000, A.D. 2023-Apr-24 00:00:00.0000,  8.165307543202329E+07,  3.811130654505216E+08, -1.436026632470779E+08,
2460059.500000000, A.D. 2023-Apr-25 00:00:00.0000,  8.026552296625614E+07,  3.812784911756940E+08, -1.437455171282465E+08,
2460060.500000000, A.D. 2023-Apr-26 00:00:00.0000,  7.887684767853911E+07,  3.814386562919105E+08, -1.438863876372138E+08,
2460061.500000000, A.D. 2023-Apr-27 00:00:00.0000,  7.748706813363649E+07,  3.815935557891293E+08, -1.440252717807336E+08,
2460062.500000000, A.D. 2023-Apr-28 00:00:00.0000,  7.609620292366733E+07,  3.817431846877818E+08, -1.441621665758849E+08,
