Column1,Column2,Column3,Column4,Column5,Column6
"2439280.500000000, A.D. 1966-Jun-04 00",00,"00.0000, -2.069721939365294E+09,  3.897069788994188E+09, -1.201461249801515E+09, -2.576601638751944E+01,  6.688480418132142E+00,  9.498511870361792E-01,",,,
"2439310.500000000, A.D. 1966-Jul-04 00",00,"00.0000, -2.138878538661631E+09,  3.895356663924061E+09, -1.198992166889958E+09, -2.634162595493533E+01, -8.045954548431217E+00,  9.538573794039364E-01,",,,
"2439341.500000000, A.D. 1966-Aug-04 00",00,"00.0000, -2.201821047983984E+09,  3.854811664722128E+09, -1.196430846046006E+09, -1.946634297479783E+01, -2.163070238049765E+01,  9.585609316018777E-01,",,,
"2439372.500000000, A.D. 1966-Sep-04 00",00,"00.0000, -2.237835368261167E+09,  3.784040071395603E+09, -1.193858459573143E+09, -6.664347072492166E+00, -3.009713293811476E+01,  9.634829545626928E-01,",,,
"2439402.500000000, A.D. 1966-Oct-04 00",00,"00.0000, -2.235768995045107E+09,  3.703005671399348E+09, -1.191357377668742E+09,  8.372283177288026E+00, -3.113042154109796E+01,  9.682938992885965E-01,",,,
"2439433.500000000, A.D. 1966-Nov-04 00",00,"00.0000, -2.193510595185959E+09,  3.627202609892408E+09, -1.188759243057863E+09,  2.257578782150252E+01, -2.417338089843408E+01,  9.732410189701568E-01,",,,
"2439463.500000000, A.D. 1966-Dec-04 00",00,"00.0000, -2.122429669900956E+09,  3.580369874407693E+09, -1.186230520222736E+09,  3.112192457304573E+01, -1.119471385957093E+01,  9.782769598628778E-01,",,,
"2439494.500000000, A.D. 1967-Jan-04 00",00,"00.0000, -2.036145743538685E+09,  3.571959130089382E+09, -1.183601785698542E+09,  3.181306252532483E+01,  4.969205906564822E+00,  9.835873740555539E-01,",,,
"2439525.500000000, A.D. 1967-Feb-04 00",00,"00.0000, -1.959765634139496E+09,  3.605202899551219E+09, -1.180956985991210E+09,  2.393741788094276E+01,  1.910013318239388E+01,  9.895406258453514E-01,",,,
"2439553.500000000, A.D. 1967-Mar-04 00",00,"00.0000, -1.916239204515571E+09,  3.661704393582144E+09, -1.178554735659313E+09,  1.147777978884891E+01,  2.656062510117808E+01,  9.945808269770993E-01,",,,
"2439584.500000000, A.D. 1967-Apr-04 00",00,"00.0000, -1.906719931887563E+09,  3.735261571144670E+09, -1.175882039200103E+09, -4.339896059634718E+00,  2.694301971258342E+01,  1.000279996268837E+00,",,,
"2439614.500000000, A.D. 1967-May-04 00",00,"00.0000, -1.935975252965648E+09,  3.797134640878664E+09, -1.173283677819261E+09, -1.756564079394837E+01,  1.970184187412788E+01,  1.005061924077181E+00,",,,
"2439645.500000000, A.D. 1967-Jun-04 00",00,"00.0000, -1.995385655102041E+09,  3.833290897396889E+09, -1.170587702339845E+09, -2.564316890642365E+01,  6.637609265716197E+00,  1.009453347980465E+00,",,,
"2439675.500000000, A.D. 1967-Jul-04 00",00,"00.0000, -2.064264328606313E+09,  3.831423420800124E+09, -1.167968881648232E+09, -2.628547462656076E+01, -8.106721556605876E+00,  1.013068253956067E+00,",,,
"2439706.500000000, A.D. 1967-Aug-04 00",00,"00.0000, -2.127086612227627E+09,  3.790678065952329E+09, -1.165252514509495E+09, -1.946310364372893E+01, -2.173670006303148E+01,  1.016408027905682E+00,",,,
"2439737.500000000, A.D. 1967-Sep-04 00",00,"00.0000, -2.163108629470427E+09,  3.719586657322701E+09, -1.162525055702597E+09, -6.682649853015764E+00, -3.026626250591930E+01,  1.019933402081282E+00,",,,
"2439767.500000000, A.D. 1967-Oct-04 00",00,"00.0000, -2.161102946478405E+09,  3.638081920769592E+09, -1.159873505509207E+09,  8.361708621323832E+00, -3.136262769311170E+01,  1.024375421206615E+00,",,,
"2439798.500000000, A.D. 1967-Nov-04 00",00,"00.0000, -2.118870555611887E+09,  3.561613991569788E+09, -1.157119575877680E+09,  2.260541391483615E+01, -2.445297992619581E+01,  1.030206439538446E+00,",,,
"2439828.500000000, A.D. 1967-Dec-04 00",00,"00.0000, -2.047698263201264E+09,  3.514003972639519E+09, -1.154439287898385E+09,  3.120599042056745E+01, -1.149946620559674E+01,  1.036744373106846E+00,",,,
"2439859.500000000, A.D. 1968-Jan-04 00",00,"00.0000, -1.961140832033589E+09,  3.504734540697290E+09, -1.151653095643462E+09,  3.195322783501054E+01,  4.670695032850210E+00,  1.043958153569208E+00,",,,
"2439890.500000000, A.D. 1968-Feb-04 00",00,"00.0000, -1.884304726847800E+09,  3.537164645713683E+09, -1.148850048380977E+09,  2.412373144471992E+01,  1.883073339865068E+01,  1.050490959347582E+00,",,,
"2439919.500000000, A.D. 1968-Mar-04 00",00,"00.0000, -1.839259167952495E+09,  3.595323407049315E+09, -1.146213678897081E+09,  1.119298523634388E+01,  2.649097138038801E+01,  1.055751409393993E+00,",,,
"2439950.500000000, A.D. 1968-Apr-04 00",00,"00.0000, -1.830478617714230E+09,  3.668384778018195E+09, -1.143381512657287E+09, -4.623363529681202E+00,  2.664970216841601E+01,  1.060288274603906E+00,",,,
"2439980.500000000, A.D. 1968-May-04 00",00,"00.0000, -1.860305939231749E+09,  3.729282875538251E+09, -1.140628675654531E+09, -1.774283166658212E+01,  1.923233371564214E+01,  1.064052353819248E+00,",,,
"2440011.500000000, A.D. 1968-Jun-04 00",00,"00.0000, -1.919939450746385E+09,  3.764070646667346E+09, -1.137772839694402E+09, -2.563630668497279E+01,  6.065912071774290E+00,  1.067466800954605E+00,",,,
"2440041.500000000, A.D. 1968-Jul-04 00",00,"00.0000, -1.988566583016576E+09,  3.760749162653913E+09, -1.134998660616451E+09, -2.608280055536571E+01, -8.678673646417975E+00,  1.071269736285354E+00,",,,
"2440072.500000000, A.D. 1968-Aug-04 00",00,"00.0000, -2.050645324454762E+09,  3.718609403523305E+09, -1.132121021117061E+09, -1.908303338356276E+01, -2.220738217519840E+01,  1.076111193283976E+00,",,,
"2440103.500000000, A.D. 1968-Sep-04 00",00,"00.0000, -2.085545032354609E+09,  3.646456788008122E+09, -1.129231083199521E+09, -6.202457121375524E+00, -3.056152185507899E+01,  1.081847197100140E+00,",,,
"2440133.500000000, A.D. 1968-Oct-04 00",00,"00.0000, -2.082288477734246E+09,  3.564383886393620E+09, -1.126421452629917E+09,  8.846390120021475E+00, -3.146346126193355E+01,  1.087483292665295E+00,",,,
"2440164.500000000, A.D. 1968-Nov-04 00",00,"00.0000, -2.038852869597383E+09,  3.487843402076145E+09, -1.123503307075107E+09,  2.298775373323572E+01, -2.437700010793678E+01,  1.093396090271420E+00,",,,
"2440194.500000000, A.D. 1968-Dec-04 00",00,"00.0000, -1.966851437041021E+09,  3.440558178744641E+09, -1.120663870019865E+09,  3.141535447913578E+01, -1.132159678549742E+01,  1.099082825387346E+00,",,,
"2440225.500000000, A.D. 1969-Jan-04 00",00,"00.0000, -1.879962110186869E+09,  3.431794508925682E+09, -1.117713010051382E+09,  3.195457911773811E+01,  4.840747609159376E+00,  1.104704881524670E+00,",,,
"2440256.500000000, A.D. 1969-Feb-04 00",00,"00.0000, -1.803339841644092E+09,  3.464591591945942E+09, -1.114745231755938E+09,  2.395574481555345E+01,  1.888541202611882E+01,  1.110272704659355E+00,",,,
"2440284.500000000, A.D. 1969-Mar-04 00",00,"00.0000, -1.759813856430197E+09,  3.520460613375558E+09, -1.112050473467039E+09,  1.143691095871722E+01,  2.623259656339887E+01,  1.115460832994037E+00,",,,
"2440315.500000000, A.D. 1969-Apr-04 00",00,"00.0000, -1.750377676130921E+09,  3.592976001402031E+09, -1.109053056841577E+09, -4.365020775053454E+00,  2.647047596393848E+01,  1.120821408662859E+00,",,,
"2440345.500000000, A.D. 1969-May-04 00",00,"00.0000, -1.779616532418633E+09,  3.653517488898710E+09, -1.106139361744964E+09, -1.751413160481034E+01,  1.912242040554904E+01,  1.126033276528182E+00,",,,
"2440376.500000000, A.D. 1969-Jun-04 00",00,"00.0000, -1.838766337674963E+09,  3.688062534054757E+09, -1.103116127993455E+09, -2.547351928005022E+01,  6.006056356010189E+00,  1.131582842008615E+00,",,,
"2440406.500000000, A.D. 1969-Jul-04 00",00,"00.0000, -1.907089119338041E+09,  3.684550185290792E+09, -1.100178901374233E+09, -2.599693038558939E+01, -8.733101899186961E+00,  1.136331696354166E+00,",,,
"2440437.500000000, A.D. 1969-Aug-04 00",00,"00.0000, -1.969022202121589E+09,  3.642173608670355E+09, -1.097131788369138E+09, -1.907262328819569E+01, -2.230104425003711E+01,  1.140784078717862E+00,",,,
"2440468.500000000, A.D. 1969-Sep-04 00",00,"00.0000, -2.003908051179799E+09,  3.569662336721281E+09, -1.094072012360929E+09, -6.232618679961773E+00, -3.072898215137487E+01,  1.145029250441182E+00,",,,
"2440498.500000000, A.D. 1969-Oct-04 00",00,"00.0000, -2.000691103836523E+09,  3.487078033440791E+09, -1.091097731067884E+09,  8.817316217461345E+00, -3.170809858469994E+01,  1.149771315599535E+00,",,,
"2440529.500000000, A.D. 1969-Nov-04 00",00,"00.0000, -1.957262366041262E+09,  3.409827473613913E+09, -1.088009171618757E+09,  2.300388394593747E+01, -2.469182012632265E+01,  1.155309691649199E+00,",,,
"2440559.500000000, A.D. 1969-Dec-04 00",00,"00.0000, -1.885148132496724E+09,  3.361718240787249E+09, -1.085004116461834E+09,  3.150072513426388E+01, -1.167293489482043E+01,  1.161626751349194E+00,",,,
"2440590.500000000, A.D. 1970-Jan-04 00",00,"00.0000, -1.797958841512124E+09,  3.352042125887613E+09, -1.081881411557236E+09,  3.212305376071463E+01,  4.498807677303901E+00,  1.168942747453069E+00,",,,
"2440621.500000000, A.D. 1970-Feb-04 00",00,"00.0000, -1.720846603574826E+09,  3.383974524603166E+09, -1.078740670205603E+09,  2.418454688959055E+01,  1.859689034335561E+01,  1.176486449724973E+00,",,,
"2440649.500000000, A.D. 1970-Mar-04 00",00,"00.0000, -1.676764589680625E+09,  3.439176955949136E+09, -1.075889272297575E+09,  1.169572001033187E+01,  2.600317099565780E+01,  1.182165880378975E+00,",,,
"2440680.500000000, A.D. 1970-Apr-04 00",00,"00.0000, -1.666666631469514E+09,  3.511133515080992E+09, -1.072717129887439E+09, -4.125543126416149E+00,  2.631752712003585E+01,  1.188162688472657E+00,",,,
"2440710.500000000, A.D. 1970-May-04 00",00,"00.0000, -1.695315865078314E+09,  3.571299286649209E+09, -1.069633740659329E+09, -1.732172522477667E+01,  1.901861340156363E+01,  1.192782082049423E+00,",,,
"2440741.500000000, A.D. 1970-Jun-04 00",00,"00.0000, -1.753984455618543E+09,  3.605573620424265E+09, -1.066434657557732E+09, -2.534391002191008E+01,  5.915302409389826E+00,  1.196687094895998E+00,",,,
"2440771.500000000, A.D. 1970-Jul-04 00",00,"00.0000, -1.821997121826196E+09,  3.601837489682871E+09, -1.063326867683038E+09, -2.592328821976831E+01, -8.835431677642415E+00,  1.200641052456365E+00,",,,
"2440802.500000000, A.D. 1970-Aug-04 00",00,"00.0000, -1.883771196500020E+09,  3.559187011335700E+09, -1.060103016459694E+09, -1.904031439084621E+01, -2.243953157634690E+01,  1.205166968263816E+00,",,,
"2440833.500000000, A.D. 1970-Sep-04 00",00,"00.0000, -1.918623001135903E+09,  3.486286709724532E+09, -1.056865506461284E+09, -6.222553977219532E+00, -3.091605196532041E+01,  1.210778571076700E+00,",,,
"2440863.500000000, A.D. 1970-Oct-04 00",00,"00.0000, -1.915429804595305E+09,  3.403168546606458E+09, -1.053717997547193E+09,  8.826862388580167E+00, -3.195123981335248E+01,  1.217039084859538E+00,",,,
"2440894.500000000, A.D. 1970-Nov-04 00",00,"00.0000, -1.871993331822225E+09,  3.325188730107094E+09, -1.050449128089371E+09,  2.304000127887304E+01, -2.498330144468737E+01,  1.224405210980281E+00,",,,
"2440924.500000000, A.D. 1970-Dec-04 00",00,"00.0000, -1.799757153069057E+09,  3.276235262397019E+09, -1.047268579985642E+09,  3.158520048035008E+01, -1.199643402289402E+01,  1.231407542886264E+00,",,,
"2440955.500000000, A.D. 1971-Jan-04 00",00,"00.0000, -1.712262454485401E+09,  3.265627620417746E+09, -1.043963710325128E+09,  3.226216573885749E+01,  4.170015867890635E+00,  1.238063429941861E+00,",,,
"2440986.500000000, A.D. 1971-Feb-04 00",00,"00.0000, -1.634660541025035E+09,  3.296670732086778E+09, -1.040640604869157E+09,  2.437585805603295E+01,  1.828749042006469E+01,  1.243922324082997E+00,",,,
"2441014.500000000, A.D. 1971-Mar-04 00",00,"00.0000, -1.590016723987549E+09,  3.351182130391828E+09, -1.037623991496730E+09,  1.191806763106975E+01,  2.574586900463942E+01,  1.249530008428474E+00,",,,
"2441045.500000000, A.D. 1971-Apr-04 00",00,"00.0000, -1.579259999637085E+09,  3.422539464178418E+09, -1.034268674385014E+09, -3.895032121056662E+00,  2.611070760680360E+01,  1.254774016463843E+00,",,,
"2441075.500000000, A.D. 1971-May-04 00",00,"00.0000, -1.607313616998066E+09,  3.482284867667200E+09, -1.031007135280077E+09, -1.711096130646649E+01,  1.886176073987107E+01,  1.260000868513402E+00,",,,
"2441106.500000000, A.D. 1971-Jun-04 00",00,"00.0000, -1.665482963215602E+09,  3.516240941970658E+09, -1.027622922673987E+09, -2.517235168928666E+01,  5.796834237497850E+00,  1.265667415989699E+00,",,,
"2441136.500000000, A.D. 1971-Jul-04 00",00,"00.0000, -1.733164603409645E+09,  3.512244357027136E+09, -1.024334590567753E+09, -2.580707152920695E+01, -8.941230756517520E+00,  1.271254164712441E+00,",,,
"2441167.500000000, A.D. 1971-Aug-04 00",00,"00.0000, -1.794756801244619E+09,  3.469293017850184E+09, -1.020922711507919E+09, -1.898444906350334E+01, -2.255694397956957E+01,  1.277401629093750E+00,",,,
"2441198.500000000, A.D. 1971-Sep-04 00",00,"00.0000, -1.829561427239110E+09,  3.395984028294363E+09, -1.017495907932178E+09, -6.219852669791594E+00, -3.107738494610701E+01,  1.283364643443219E+00,",,,
"2441228.500000000, A.D. 1971-Oct-04 00",00,"00.0000, -1.826388474249361E+09,  3.312309115110295E+09, -1.014164538865724E+09,  8.807854882639376E+00, -3.218132617964904E+01,  1.288977933384935E+00,",,,
"2441259.500000000, A.D. 1971-Nov-04 00",00,"00.0000, -1.782949904493569E+09,  3.233568914834965E+09, -1.010705141504385E+09,  2.303734424887417E+01, -2.529590190711982E+01,  1.294693667125376E+00,",,,
"2441289.500000000, A.D. 1971-Dec-04 00",00,"00.0000, -1.710594776829384E+09,  3.183729336531075E+09, -1.007339760193610E+09,  3.164304314293076E+01, -1.236614316690809E+01,  1.300995314232015E+00,",,,
"2441320.500000000, A.D. 1972-Jan-04 00",00,"00.0000, -1.622792475705776E+09,  3.172135765682989E+09, -1.003843248598724E+09,  3.241032806323066E+01,  3.783286271976853E+00,  1.308136137101096E+00,",,,
"2441351.500000000, A.D. 1972-Feb-04 00",00,"00.0000, -1.544685001942679E+09,  3.202234618894478E+09, -1.000327218947454E+09,  2.460644611556894E+01,  1.794022950162712E+01,  1.315843597365538E+00,",,,
"2441380.500000000, A.D. 1972-Mar-04 00",00,"00.0000, -1.498434521132205E+09,  3.258219609628064E+09, -9.970208811474856E+08,  1.168706030403151E+01,  2.560576934455671E+01,  1.322573941420917E+00,",,,
"2441411.500000000, A.D. 1972-Apr-04 00",00,"00.0000, -1.488356229386373E+09,  3.328962825725960E+09, -9.934694381199075E+08, -4.118210286962431E+00,  2.578186998111998E+01,  1.329693598448985E+00,",,,
"2441441.500000000, A.D. 1972-May-04 00",00,"00.0000, -1.516930700391572E+09,  3.387626573035284E+09, -9.900169751240370E+08, -1.724071626340942E+01,  1.837929720331654E+01,  1.335716118662932E+00,",,,
"2441472.500000000, A.D. 1972-Jun-04 00",00,"00.0000, -1.575278288218820E+09,  3.420109749245072E+09, -9.864343200597708E+08, -2.515177504065030E+01,  5.225796456040366E+00,  1.341131865340378E+00,",,,
"2441502.500000000, A.D. 1972-Jul-04 00",00,"00.0000, -1.642676080621899E+09,  3.414551301617553E+09, -9.829532857344606E+08, -2.561801032787822E+01, -9.521810042517636E+00,  1.345913527230026E+00,",,,
"2441533.500000000, A.D. 1972-Aug-04 00",00,"00.0000, -1.703500665005493E+09,  3.370086296654660E+09, -9.793415641450551E+08, -1.863855682455836E+01, -2.307150453312910E+01,  1.350675530032587E+00,",,,
"2441564.500000000, A.D. 1972-Sep-04 00",00,"00.0000, -1.737157800391912E+09,  3.295582070306808E+09, -9.757141809168394E+08, -5.758887239225992E+00, -3.145620885331903E+01,  1.356416944604270E+00,",,,
"2441594.500000000, A.D. 1972-Oct-04 00",00,"00.0000, -1.732699188753598E+09,  3.211204101882564E+09, -9.721874250607030E+08,  9.301519274346553E+00, -3.237894874991119E+01,  1.363142844606418E+00,",,,
"2441625.500000000, A.D. 1972-Nov-04 00",00,"00.0000, -1.688012719365307E+09,  3.132247708318518E+09, -9.685247373577043E+08,  2.346636754053006E+01, -2.530390084037045E+01,  1.371154315650577E+00,",,,
"2441655.500000000, A.D. 1972-Dec-04 00",00,"00.0000, -1.614781693832975E+09,  3.082600368264029E+09, -9.649610945293192E+08,  3.191199911686377E+01, -1.224828062463441E+01,  1.379134208795969E+00,",,,
"2441686.500000000, A.D. 1973-Jan-04 00",00,"00.0000, -1.526595558316916E+09,  3.071380903363616E+09, -9.612581793109605E+08,  3.246341859188936E+01,  3.927676732583637E+00,  1.387361331687841E+00,",,,
"2441717.500000000, A.D. 1973-Feb-04 00",00,"00.0000, -1.448656860757641E+09,  3.101721317003241E+09, -9.575346187058651E+08,  2.446031063473650E+01,  1.798739073793559E+01,  1.394749905151125E+00,",,,
"2441745.500000000, A.D. 1973-Mar-04 00",00,"00.0000, -1.403935429060145E+09,  3.155368882075957E+09, -9.541545690334597E+08,  1.194102258698514E+01,  2.533714533828299E+01,  1.401122801017262E+00,",,,
"2441776.500000000, A.D. 1973-Apr-04 00",00,"00.0000, -1.393172259687264E+09,  3.225432769745044E+09, -9.503945169427083E+08, -3.881274758342740E+00,  2.557540332109092E+01,  1.406938654127030E+00,",,,
"2441806.500000000, A.D. 1973-May-04 00",00,"00.0000, -1.421132282194863E+09,  3.283598538004961E+09, -9.467393026801670E+08, -1.704383595525359E+01,  1.821538676317619E+01,  1.412371934462970E+00,",,,
"2441837.500000000, A.D. 1973-Jun-04 00",00,"00.0000, -1.478971377172517E+09,  3.315680630972271E+09, -9.429461556378851E+08, -2.500675408255253E+01,  5.073988186250910E+00,  1.418181332912249E+00,",,,
"2441867.500000000, A.D. 1973-Jul-04 00",00,"00.0000, -1.546032757771792E+09,  3.309771802396735E+09, -9.392598460380001E+08, -2.552300837644266E+01, -9.681142857439443E+00,  1.424428320371797E+00,",,,
"2441898.500000000, A.D. 1973-Aug-04 00",00,"00.0000, -1.606670709455989E+09,  3.264899629986234E+09, -9.354343721655469E+08, -1.858250443584834E+01, -2.325665431945258E+01,  1.431606839459464E+00,",,,
"2441929.500000000, A.D. 1973-Sep-04 00",00,"00.0000, -1.640266603221181E+09,  3.189872025096099E+09, -9.315913956922135E+08, -5.732670790267234E+00, -3.168066629638021E+01,  1.438972748632148E+00,",,,
"2441959.500000000, A.D. 1973-Oct-04 00",00,"00.0000, -1.635806737460360E+09,  3.104828238457676E+09, -9.278547462022874E+08,  9.317562970380012E+00, -3.265848344396698E+01,  1.446053435545746E+00,",,,
"2441990.500000000, A.D. 1973-Nov-04 00",00,"00.0000, -1.591089855271576E+09,  3.025005410859569E+09, -9.239739167527903E+08,  2.349747621958900E+01, -2.564058820690293E+01,  1.453360166344485E+00,",,,
"2442020.500000000, A.D. 1973-Dec-04 00",00,"00.0000, -1.517717836643059E+09,  2.974374824126386E+09, -9.201983103192232E+08,  3.198907711437379E+01, -1.262874973397400E+01,  1.460586839263628E+00,",,,
"2442051.500000000, A.D. 1974-Jan-04 00",00,"00.0000, -1.429207777277563E+09,  2.962070737238881E+09, -9.162754748476801E+08,  3.260311631064889E+01,  3.528793510946026E+00,  1.467941063044014E+00,",,,
"2442082.500000000, A.D. 1974-Feb-04 00",00,"00.0000, -1.350753439781355E+09,  2.991361316867658E+09, -9.123309316731086E+08,  2.466621412008005E+01,  1.760508542640175E+01,  1.475685509039297E+00,",,,
"2442110.500000000, A.D. 1974-Mar-04 00",00,"00.0000, -1.305440297158421E+09,  3.044176365087889E+09, -9.087496711162505E+08,  1.218190785503912E+01,  2.500840025941796E+01,  1.482770196248678E+00,",,,
"2442141.500000000, A.D. 1974-Apr-04 00",00,"00.0000, -1.293980230286199E+09,  3.113485774645879E+09, -9.047656520226321E+08, -3.624193359080881E+00,  2.530649324851751E+01,  1.490867317710267E+00,",,,
"2442171.500000000, A.D. 1974-May-04 00",00,"00.0000, -1.321310675958117E+09,  3.171085159906019E+09, -9.008916921864333E+08, -1.680699311552377E+01,  1.800489885560999E+01,  1.498343596823961E+00,",,,
"2442202.500000000, A.D. 1974-Jun-04 00",00,"00.0000, -1.378619787978407E+09,  3.202696826777307E+09, -8.968704143089770E+08, -2.481790308351692E+01,  4.910345474911811E+00,  1.505673634258442E+00,",,,
"2442232.500000000, A.D. 1974-Jul-04 00",00,"00.0000, -1.445325298762183E+09,  3.196372827591346E+09, -8.929618578765460E+08, -2.539942504112908E+01, -9.833222597585284E+00,  1.512110071321156E+00,",,,
"2442263.500000000, A.D. 1974-Aug-04 00",00,"00.0000, -1.505757102609938E+09,  3.151031470517808E+09, -8.889052725779157E+08, -1.852991040114014E+01, -2.343092063646211E+01,  1.518385933344137E+00,",,,
"2442294.500000000, A.D. 1974-Sep-04 00",00,"00.0000, -1.539279068865355E+09,  3.075416908977957E+09, -8.848301279869591E+08, -5.732812234619157E+00, -3.191449535653638E+01,  1.524735648590870E+00,",,,
"2442324.500000000, A.D. 1974-Oct-04 00",00,"00.0000, -1.534807476937385E+09,  2.989639684193657E+09, -8.808675684885945E+08,  9.302987032516647E+00, -3.296879605384684E+01,  1.531664854356526E+00,",,,
"2442355.500000000, A.D. 1974-Nov-04 00",00,"00.0000, -1.490053043935223E+09,  2.908873119039260E+09, -8.767520479163964E+08,  2.351121314415669E+01, -2.603492797506985E+01,  1.539772537217853E+00,",,,
"2442385.500000000, A.D. 1974-Dec-04 00",00,"00.0000, -1.416528376609071E+09,  2.857180344632876E+09, -8.727475853479269E+08,  3.206943753288365E+01, -1.307668427180861E+01,  1.548598143529601E+00,",,,
"2442416.500000000, A.D. 1975-Jan-04 00",00,"00.0000, -1.327675773357066E+09,  2.843704514906629E+09, -8.685863815698931E+08,  3.277792089065277E+01,  3.072039201063435E+00,  1.558440264334458E+00,",,,
"2442447.500000000, A.D. 1975-Feb-04 00",00,"00.0000, -1.248679202141146E+09,  2.871861733566764E+09, -8.644013268521658E+08,  2.492032804813071E+01,  1.719699177260564E+01,  1.567800768016237E+00,",,,
"2442475.500000000, A.D. 1975-Mar-04 00",00,"00.0000, -1.202757807457937E+09,  2.923768818482965E+09, -8.606016694438961E+08,  1.247010061727075E+01,  2.465901946838579E+01,  1.575447010500181E+00,",,,
"2442506.500000000, A.D. 1975-Apr-04 00",00,"00.0000, -1.190572522198052E+09,  2.992245114466170E+09, -8.563737321318340E+08, -3.342620013835776E+00,  2.504380155907482E+01,  1.583145653228064E+00,",,,
"2442536.500000000, A.D. 1975-May-04 00",00,"00.0000, -1.217251237571291E+09,  3.049202917418595E+09, -8.522624372591422E+08, -1.657075907361909E+01,  1.780248655441445E+01,  1.589973265404603E+00,",,,
"2442567.500000000, A.D. 1975-Jun-04 00",00,"00.0000, -1.274014159502615E+09,  3.080268773488236E+09, -8.479945307507105E+08, -2.465495044393715E+01,  4.734337398374205E+00,  1.596537517689730E+00,",,,
"2442597.500000000, A.D. 1975-Jul-04 00",00,"00.0000, -1.340350455716219E+09,  3.073451039876090E+09, -8.438456451053088E+08, -2.530614631397399E+01, -1.001979532936518E+01,  1.603278516470026E+00,",,,
"2442628.500000000, A.D. 1975-Aug-04 00",00,"00.0000, -1.400566359284952E+09,  3.027552180930671E+09, -8.395389649701653E+08, -1.849434972089735E+01, -2.366626731723598E+01,  1.610905018538000E+00,",,,
"2442659.500000000, A.D. 1975-Sep-04 00",00,"00.0000, -1.433999587679801E+09,  2.951253260190193E+09, -8.352113365563977E+08, -5.721427468186242E+00, -3.222056518164563E+01,  1.619721824268227E+00,",,,
"2442689.500000000, A.D. 1975-Oct-04 00",00,"00.0000, -1.429494191182090E+09,  2.864644804331804E+09, -8.310020632642262E+08,  9.323180810160633E+00, -3.334508974860488E+01,  1.628699780243393E+00,",,,
"2442720.500000000, A.D. 1975-Nov-04 00",00,"00.0000, -1.384667032437740E+09,  2.782831145311986E+09, -8.266292929592569E+08,  2.357678148005720E+01, -2.646521524208133E+01,  1.638201426030383E+00,",,,
"2442750.500000000, A.D. 1975-Dec-04 00",00,"00.0000, -1.310953179781146E+09,  2.729983756184484E+09, -8.223743102105746E+08,  3.219408540401817E+01, -1.353441102739788E+01,  1.647041162281897E+00,",,,
"2442781.500000000, A.D. 1976-Jan-04 00",00,"00.0000, -1.221724111660622E+09,  2.715251526972811E+09, -8.179526945908046E+08,  3.296278257507196E+01,  2.621748059868473E+00,  1.655748211527727E+00,",,,
"2442812.500000000, A.D. 1976-Feb-04 00",00,"00.0000, -1.142167250705655E+09,  2.742189805586027E+09, -8.135059251704769E+08,  2.515131219585847E+01,  1.677801075693234E+01,  1.664334513342682E+00,",,,
"2442841.500000000, A.D. 1976-Mar-04 00",00,"00.0000, -1.094542342313418E+09,  2.795202781987034E+09, -8.093234858950672E+08,  1.223031272557218E+01,  2.443882449468028E+01,  1.672631312645558E+00,",,,
"2442872.500000000, A.D. 1976-Apr-04 00",00,"00.0000, -1.082986929709925E+09,  2.862764512975977E+09, -8.048294896410242E+08, -3.585942098952462E+00,  2.459975016049990E+01,  1.681350774261876E+00,",,,
"2442902.500000000, A.D. 1976-May-04 00",00,"00.0000, -1.110132604611867E+09,  2.918336566890400E+09, -8.004582973006706E+08, -1.671202975005340E+01,  1.717856911393270E+01,  1.689937135407543E+00,",,,
"2442933.500000000, A.D. 1976-Jun-04 00",00,"00.0000, -1.167012353723445E+09,  2.947602406761276E+09, -7.959191776261936E+08, -2.461532528709739E+01,  3.999803246622839E+00,  1.699156723865838E+00,",,,
"2442963.500000000, A.D. 1976-Jul-04 00",00,"00.0000, -1.232994226747492E+09,  2.938902823493657E+09, -7.915051621062579E+08, -2.506925982452524E+01, -1.076265257403805E+01,  1.707803455679554E+00,",,,
"2442994.500000000, A.D. 1976-Aug-04 00",00,"00.0000, -1.292357668750412E+09,  2.891155987076273E+09, -7.869217492769512E+08, -1.807363973545652E+01, -2.431482799195010E+01,  1.716456359483175E+00,",,,
"2443025.500000000, A.D. 1976-Sep-04 00",00,"00.0000, -1.324554001427301E+09,  2.813333157368986E+09, -7.823152349340055E+08, -5.193059901618494E+00, -3.269499891095082E+01,  1.724617257140304E+00,",,,
"2443055.500000000, A.D. 1976-Oct-04 00",00,"00.0000, -1.318682774949760E+09,  2.725702367744897E+09, -7.778343627718015E+08,  9.859634446432638E+00, -3.362414607401993E+01,  1.732957941728840E+00,",,,
"2443086.500000000, A.D. 1976-Nov-04 00",00,"00.0000, -1.272529971486019E+09,  2.643339170979124E+09, -7.731790666357220E+08,  2.401088136439243E+01, -2.656491323138913E+01,  1.742148614329789E+00,",,,
"2443116.500000000, A.D. 1976-Dec-04 00",00,"00.0000, -1.197866270494866E+09,  2.590346307718650E+09, -7.686483216265371E+08,  3.245293521409442E+01, -1.353305709655073E+01,  1.751999574764342E+00,",,,
"2443147.500000000, A.D. 1977-Jan-04 00",00,"00.0000, -1.108178095170517E+09,  2.575625513608086E+09, -7.639392598013620E+08,  3.300859678763576E+01,  2.611330269806892E+00,  1.762927390783055E+00,",,,
